epoch,train_loss,train_sim_loss,train_coord_loss,val_loss,val_sim_loss,val_coord_loss,val_accuracy,lr
1,10.018657525380453,0.6968815525372823,8.965301354726156,0.7105439901351929,0.6804485321044922,0.03009543940424919,1.0,0.0002967330663097039
2,9.640013694763184,0.6908268431822459,8.632588466008505,0.7567344307899475,0.7230754494667053,0.0336589552462101,0.0,0.00028707504591756876
3,10.586084047953287,0.7037126223246256,9.59273592631022,0.8151899576187134,0.7772902846336365,0.037899646908044815,0.0,0.0002714480406590546
4,10.179877678553263,0.6966660022735596,9.211479107538858,0.867004930973053,0.8223266005516052,0.044678352773189545,0.0,0.0002505350256506493
5,10.55147409439087,0.7236259678999583,9.570574045181274,0.8840912580490112,0.8347756862640381,0.04931556433439255,0.0,0.00022524999999999995
6,11.444014231363932,0.6742760141690572,10.525045235951742,0.8925954103469849,0.8442400097846985,0.04835538938641548,0.0,0.0001966980406590546
7,10.629258950551352,0.7015129923820496,9.692557493845621,0.896899938583374,0.8387399911880493,0.058159977197647095,0.0,0.00016612700525851418
8,9.179800828297934,0.7374687492847443,8.211515347162882,0.9525919556617737,0.8751574158668518,0.07743455469608307,0.0,0.00013487299474148582
9,10.60145362218221,0.683861643075943,9.692147811253866,1.0016119480133057,0.9203502535820007,0.08126173168420792,0.0,0.00010430195934094536
10,9.461129029591879,0.7307457824548086,8.507263819376627,1.036923885345459,0.9427143335342407,0.09420958161354065,0.0,7.575000000000003e-05
11,10.262322743733725,0.6911919911702474,9.351311047871908,1.0454399585723877,0.9420544505119324,0.10338544845581055,0.0,5.046497434935074e-05
12,10.229644775390625,0.7611949245134989,9.246682008107504,1.0126004219055176,0.9233914017677307,0.08920900523662567,0.0,2.955195934094537e-05
13,9.7239777247111,0.7007728715737661,8.803362051645914,1.0154645442962646,0.9329671859741211,0.08249735832214355,0.0,1.3924954082431153e-05
14,10.472113291422525,0.7221691807111105,9.52885127067566,1.0405679941177368,0.9350340962409973,0.10553392767906189,0.0,4.26693369029605e-06
15,10.196016947428385,0.6959564983844757,9.278985102971395,1.033758282661438,0.9189976453781128,0.11476065218448639,0.0625,1e-06
